# id    x        y        z        u
   0 0.000000 0.000000 1.000000   1.00000000
   1 0.000000 0.000000 0.000000   0.00000000
   2 0.000000 1.000000 1.000000   1.00000000
   3 0.000000 1.000000 0.000000   0.00000000
   4 1.000000 0.000000 1.000000   1.00000000
   5 1.000000 0.000000 0.000000   0.00000000
   6 1.000000 1.000000 1.000000   1.00000000
   7 1.000000 1.000000 0.000000   0.00000000
   8 0.000000 0.000000 0.100000  -5.07539040
   9 0.000000 0.000000 0.200000  -4.88397885
  10 0.000000 0.000000 0.300000  -2.19928510
  11 0.000000 0.000000 0.400000 -14.76589725
  12 0.000000 0.000000 0.500000  10.10179982
  13 0.000000 0.000000 0.600000  -0.94810346
  14 0.000000 0.000000 0.700000  -5.48943782
  15 0.000000 0.000000 0.800000   0.44883743
  16 0.000000 0.000000 0.900000   2.66253287
  17 0.000000 0.100000 1.000000   1.00000000
  18 0.000000 0.200000 1.000000   1.00000000
  19 0.000000 0.300000 1.000000   1.00000000
  20 0.000000 0.400000 1.000000   1.00000000
  21 0.000000 0.500000 1.000000   1.00000000
  22 0.000000 0.600000 1.000000   1.00000000
  23 0.000000 0.700000 1.000000   1.00000000
  24 0.000000 0.800000 1.000000   1.00000000
  25 0.000000 0.900000 1.000000   1.00000000
  26 0.000000 1.000000 0.100000   0.67550642
  27 0.000000 1.000000 0.200000   4.79595184
  28 0.000000 1.000000 0.300000  40.25054137
  29 0.000000 1.000000 0.400000  37.10577940
  30 0.000000 1.000000 0.500000   4.24282762
  31 0.000000 1.000000 0.600000  -3.11665022
  32 0.000000 1.000000 0.700000  -0.61243526
  33 0.000000 1.000000 0.800000   2.15709253
  34 0.000000 1.000000 0.900000  -7.62580742
  35 0.000000 0.100000 0.000000   0.00000000
  36 0.000000 0.200000 0.000000   0.00000000
  37 0.000000 0.300000 0.000000   0.00000000
  38 0.000000 0.400000 0.000000   0.00000000
  39 0.000000 0.500000 0.000000   0.00000000
  40 0.000000 0.600000 0.000000   0.00000000
  41 0.000000 0.700000 0.000000   0.00000000
  42 0.000000 0.800000 0.000000   0.00000000
  43 0.000000 0.900000 0.000000   0.00000000
  44 1.000000 0.000000 0.100000  -0.51537445
  45 1.000000 0.000000 0.200000  -6.36823699
  46 1.000000 0.000000 0.300000  10.60562732
  47 1.000000 0.000000 0.400000  -0.35528817
  48 1.000000 0.000000 0.500000  -4.25192447
  49 1.000000 0.000000 0.600000   1.26538533
  50 1.000000 0.000000 0.700000   1.09219745
  51 1.000000 0.000000 0.800000   8.02844673
  52 1.000000 0.000000 0.900000  -8.25158060
  53 1.000000 0.100000 1.000000   1.00000000
  54 1.000000 0.200000 1.000000   1.00000000
  55 1.000000 0.300000 1.000000   1.00000000
  56 1.000000 0.400000 1.000000   1.00000000
  57 1.000000 0.500000 1.000000   1.00000000
  58 1.000000 0.600000 1.000000   1.00000000
